placeId;name;rating;review;category;description;city;address;postalCode;imageUrl;url;latitude;longitude;phone;openingHours/0/day;openingHours/0/hours;openingHours/1/day;openingHours/1/hours;openingHours/2/day;openingHours/2/hours;openingHours/3/day;openingHours/3/hours;openingHours/4/day;openingHours/4/hours;openingHours/5/day;openingHours/5/hours;openingHours/6/day;openingHours/6/hours
31;Wisata Lembah Dieng;4,3;108;Wisata Alam;Taman ini terletak di Jalan Wisata No.99, Lembah Dieng, Malang, dan dikenal sebagai tempat rekreasi yang menyediakan berbagai fasilitas seperti kolam renang bertaraf internasional, pemancingan, dan area outbound;Kota Malang;Jl. Lembah Dieng No.G 23, Sumberjo, Kalisongo, Kec. Dau, Kota Malang, Jawa Timur 65151, Indonesia;65151;https://lh5.googleusercontent.com/p/AF1QipN6G0JHMS0-k79V1U8JSNd_NAfGgyL50QRBo0Lk=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Lembah%20Dieng&query_place_id=ChIJTdH9yoqCeC4Ro_BqArWNqx8;-7,9649155;112,5961882;;Monday;6 AM to 4:30 PM;Tuesday;6 AM to 4:30 PM;Wednesday;6 AM to 4:30 PM;Thursday;6 AM to 4:30 PM;Friday;6 AM to 4:30 PM;Saturday;6 AM to 4:30 PM;Sunday;6 AM to 4:30 PM
32;Ijen Park;4,7;3346;Wisata Rekreasi;Geopark ini dikenal dengan keindahan alamnya yang luar biasa, termasuk Kawah Ijen, yang memiliki danau kawah paling asam di dunia dengan api biru yang muncul di daerah Solfatara;Kota Malang;Ijen St No.73, Oro-oro Dowo, Klojen, Kota Malang, East Java 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipP9nwCRw2u5k590UtP96VY1AQRLYnQSZO5tHY_o=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Ijen%20Park&query_place_id=ChIJEwohbyko1i0R3apowbfPXTk;-7,9677826;112,6238808;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
33;Taman Rampal;4,3;47;Wisata Rekreasi;Taman ini merupakan destinasi ramah anak yang menawarkan berbagai wahana permainan menarik dan seru;Kota Malang;Jl. Panglima Sudirman No.64, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65124, Indonesia;65124;https://lh5.googleusercontent.com/p/AF1QipOP7coz5Fh3mCZKGmXtUui-o0Fdg1w8MVRrax7w=w408-h543-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Rampal&query_place_id=ChIJ86Z-3mQp1i0R9_SH81jxLOc;-7,9740814;112,641804;+62 811-3666-145;Monday;8 AM to 9:30 PM;Tuesday;8 AM to 9:30 PM;Wednesday;8 AM to 9:30 PM;Thursday;8 AM to 9:30 PM;Friday;8 AM to 9:30 PM;Saturday;7:30 AM to 9:30 PM;Sunday;7:30 AM to 9:30 PM
34;Taman Singha Merjosari;4,5;9057;Wisata Rekreasi;Memiliki area yang luas dan dikelilingi oleh pepohonan yang rindang, menjadikannya tempat yang ideal untuk berbagai aktivitas;Kota Malang;Jl. Mertojoyo Selatan Blk. B No.20, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia;65144;https://lh5.googleusercontent.com/p/AF1QipNlR7uAjzdRIBRdMvRZlmqTMX8RABkD0PK-_64k=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Singha%20Merjosari&query_place_id=ChIJ3-anZmyCeC4RW8r6-oaITCs;-7,9451478;112,6032275;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
35;Wana Wisata Perhutani Malang;4,6;98;Wisata Edukasi;Menyediakan berbagai aktivitas yang menarik, termasuk petualangan, wisata sambil berburu kuliner, dan pengalaman interaktif yang positif bagi wisatawan;Kota Malang;Wisata minat khusus, Jl. Dr. Cipto Destinasi Wisata No.14a, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia;65111;https://lh5.googleusercontent.com/p/AF1QipNYpHTU4ZYmYxeaesV7dhELDmj-4cwJUMY1NXWc=w427-h240-k-no;https://www.google.com/maps/search/?api=1&query=Wana%20Wisata%20Perhutani%20Malang&query_place_id=ChIJm6elpsmt1y0RWvNj-xmoz8E;-7,968701;112,6351501;+62 812-3541-9696;Monday;8 AM to 4 PM;Tuesday;8 AM to 4 PM;Wednesday;8 AM to 4 PM;Thursday;8 AM to 4 PM;Friday;8 AM to 4 PM;Saturday;Open 24 hours;Sunday;Open 24 hours
36;Jembatan Kaca Ngalam Indonesia;4,3;117;Wisata Rekreasi;Sebuah jembatan kaca yang menghubungkan dua kampung tematik di Kota Malang, yaitu Kampung Warna-Warni dan Kampung Tridi. Jembatan ini dibangun di atas Sungai Brantas dan menjadi ikon baru Kota Malang;Kota Malang;2J8Q+P4C, Kesatrian, Blimbing, Kota Malang, East Java, Indonesia;;https://lh5.googleusercontent.com/p/AF1QipNIW2_8D99bOwTBoGlQ-uXXjZ8HMYXTq3p5CNV4=w408-h305-k-no;https://www.google.com/maps/search/?api=1&query=Jembatan%20Kaca%20Ngalam%20Indonesia&query_place_id=ChIJq8mE2BUo1i0RFiMQmFVnBwI;-7,9831936;112,637773;;Monday;6 AM to 5 PM;Tuesday;6 AM to 5 PM;Wednesday;6 AM to 5 PM;Thursday;6 AM to 5 PM;Friday;6 AM to 5 PM;Saturday;6 AM to 5 PM;Sunday;6 AM to 5 PM
37;Wisata Alam Lembah Gunung Sari Desa Kucur;4,5;418;Wisata Alam;Menawarkan pemandangan alam yang memukau dan suasana yang tenang serta sejuk, menjadikannya tempat yang ideal untuk bersantai dan melepas penat;Kabupaten Malang;Jl. Raya Klampok Kucur, Turi, Kucur, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia;65151;https://lh5.googleusercontent.com/p/AF1QipNq4Sm0kgLhHF3-8pHqH_zVLXUixKxBDH0yDqOz=w408-h544-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Alam%20Lembah%20Gunung%20Sari%20Desa%20Kucur&query_place_id=ChIJVwXVhf6DeC4RXKdNYzmPOuM;-7,9630258;112,5556656;+62 857-0813-5811;Monday;8 AM to 4 PM;Tuesday;8 AM to 4 PM;Wednesday;8 AM to 4 PM;Thursday;8 AM to 4 PM;Friday;Closed;Saturday;8 AM to 4 PM;Sunday;8 AM to 4 PM
38;SUMBER UMBULAN LOWOKSARI;4,4;194;Wisata Alam;Dikenal dengan air mata airnya yang jernih dan segar, serta pemandangan alam yang menenangkan;Kabupaten Malang;4J2F+C8H, Mojosari, Ngenep, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152, Indonesia;65152;https://lh5.googleusercontent.com/p/AF1QipOkWYk7i3Jpm8s36jU5bPw2HQ4TpBfw8JKsgx5i=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=SUMBER%20UMBULAN%20LOWOKSARI&query_place_id=ChIJO0N9CPkr1i0RzWG9oiDbUxw;-7,8989271;112,6233729;;;;;;;;;;;;;;;
39;Patung Singo Edan Arema;4,5;203;Wisata Rekreasi;Patung ini terdiri dari tiga ekor singa berwarna kuning keemasan yang menjadi simbol kebanggaan bagi warga Malang, khususnya para Aremania;Kota Malang;Klojen, Kota Malang, East Java, Indonesia;;https://lh5.googleusercontent.com/p/AF1QipNVCjZtWEVKgo3sH-MT5OonKLLWvysfvuOTTK50=w408-h270-k-no;https://www.google.com/maps/search/?api=1&query=Patung%20Singo%20Edan%20Arema&query_place_id=ChIJv6xLETwo1i0RIluXtND9rtA;-7,977314;112,6366485;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
40;Chinatown Malang;4,6;61;Wisata Rekreasi;Pecinan Malang adalah destinasi yang menarik untuk wisatawan yang ingin mengetahui lebih lanjut tentang sejarah dan budaya Tionghoa di Malang.;Kota Malang;Jl. Zainul Arifin No.109, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia;65118;https://lh5.googleusercontent.com/p/AF1QipNPiNHEZWb61gPXXe6JXhYWfSj9JSCKqnDiFEss=w408-h544-k-no;https://www.google.com/maps/search/?api=1&query=Chinatown%20Malang&query_place_id=ChIJI3biZGIp1i0RoNMZbItF5N0;-7,9860032;112,6334661;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
41;Sumber Umbulan;4,5;783;Wisata Alam;Sebuah objek wisata alam yang terletak di Desa Lang-Lang, Kecamatan Singosari, Kabupaten Malang, Jawa Timur. Tempat ini dikenal dengan air mata airnya yang jernih dan segar, serta pemandangan alam yang menenangkan;Kabupaten Malang;Jl. Langlang No.3 RT.11, Langlang II, Langlang, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153, Indonesia;65153;https://lh5.googleusercontent.com/p/AF1QipOW0wR8vOc8vmE1t0a7CB2vk9Jzbwvikn29_wRW=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Sumber%20Umbulan&query_place_id=ChIJGfMGCI8r1i0R0-D2tqP2TgE;-7,8953581;112,6290045;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
42;Kampung Wisata Keramik Dinoyo;4,5;713;Wisata Edukasi;Kampung ini dikenal sebagai sentra perajin keramik di Kota Malang dan memiliki sejarah panjang yang dimulai sejak zaman Kerajaan Kanjuruhan pada abad ke-7;Kota Malang;Jl. Mt Haryono 9 No.336, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia;65144;https://lh5.googleusercontent.com/p/AF1QipPH12FbX5w2XuPEDjyyNzSUfP1ZjjQIzSvi734r=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Wisata%20Keramik%20Dinoyo&query_place_id=ChIJ00-qJ3OCeC4RukDpyk2ASVo;-7,9418156;112,6116907;+62 812-3553-1979;Monday;8 AM to 3 PM;Tuesday;8 AM to 3 PM;Wednesday;8 AM to 3 PM;Thursday;8 AM to 3 PM;Friday;8 AM to 3 PM;Saturday;8 AM to 3 PM;Sunday;8 AM to 3 PM
43;"Wisata Sumber Air "" DAM COKRO "" Lowoksari";4,5;59;Wisata Alam;Tempat ini awalnya merupakan bendungan irigasi yang kemudian diubah menjadi lokasi wisata yang menarik;Kabupaten Malang;Mojosari, Ngenep, Karang Ploso, Kabupaten Malang, East Java 65152, Indonesia;65152;https://lh5.googleusercontent.com/p/AF1QipPcjmP9fby5s2BQabd9BwJExktjy6ajTN4D1TUW=w408-h270-k-no;https://www.google.com/maps/search/?api=1&query=Wisata%20Sumber%20Air%20%22%20DAM%20COKRO%20%22%20Lowoksari&query_place_id=ChIJ-wpZ6tEr1i0RriNhQFXvUPU;-7,9000712;112,6239566;+62 877-9311-3515;Monday;7 AM to 5 PM;Tuesday;7 AM to 5 PM;Wednesday;7 AM to 5 PM;Thursday;7 AM to 5 PM;Friday;7 AM to 5 PM;Saturday;7 AM to 5 PM;Sunday;7 AM to 5 PM
44;Museum Motor Klasik;5,0;2;Museum;Sebuah museum yang didirikan oleh SMK National Media Center (NMC) pada Maret 2022 dan menjadi tempat yang sangat menarik bagi pecinta otomotif;Kota Malang;Jl. Bunga Vinolia No.8b, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia;65141;https://lh5.googleusercontent.com/p/AF1QipOqzn0snOhWIEGgyiePFraPtoKTxOLyVtn5k-Br=w511-h240-k-no;https://www.google.com/maps/search/?api=1&query=Museum%20Motor%20Klasik&query_place_id=ChIJMbRC2IiDeC4RCzG1APJBjnA;-7,9348244;112,6140505;;;;;;;;;;;;;;;
45;Taman Cerme Gramophone;4,3;115;Wisata Rekreasi;Dikenal juga sebagai Taman Terompet, terletak di Jalan Cerme, Kota Malang. Taman ini berada di depan The Shalimar Boutique Hotel dan dikenal dengan landmarknya, yaitu gramofon raksasa yang menjadi daya tarik utama;Kota Malang;Jl. Merbabu No.4, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipPjM3S1dnY1J0AEae24nkAk7HamF9BQ9yGcmEhT=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Cerme%20Gramophone&query_place_id=ChIJGYOkzigo1i0RTQmYBKrHQD8;-7,9703423;112,6252428;+62 341 324989;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
46;Coban Amprong;4,0;40;Wisata Alam;Sebuah air terjun yang dikenal sebagai destinasi wisata tersembunyi yang menawarkan keindahan alam yang masih asli dan terjaga;Kota Malang;2J4X+VRF, Kedungkandang, Kota Malang, East Java 65137, Indonesia;65137;https://lh5.googleusercontent.com/p/AF1QipPWwWY08eRt9zVGCzshvZgBYlYTPZiNhk_AqNUh=w408-h258-k-no;https://www.google.com/maps/search/?api=1&query=Coban%20Amprong&query_place_id=ChIJS4O4J3Io1i0R-DXjMzPjmfI;-7,99282;112,6495368;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
47;Rolak stream;4,6;48;Wisata Rekreasi;Kampung wisata ini sebelumnya merupakan area urugan pasir katel, namun kini telah diubah menjadi destinasi wisata yang menarik;Kota Malang;2M63+3JC, kh, Jalan.K.Hasyim Kedungkandang V, Kedungkandang, Kec. Kedungkandang, Kota Malang, Jawa Timur 65137, Indonesia;65137;https://lh5.googleusercontent.com/p/AF1QipOfWywdL_4i61kqmLmdPva3yauZz5QOhgrsCFVg=w408-h725-k-no;https://www.google.com/maps/search/?api=1&query=Rolak%20stream&query_place_id=ChIJA5mkCtwn1i0RHd32Zm1Ei1Q;-7,9898171;112,654001;+62 813-3349-1315;;;;;;;;;;;;;;
48;Coban Glotak;4,5;881;Wisata Alam;Sebuah air terjun yang dikenal dengan pemandangan alamnya yang menakjubkan dan suasana yang masih alami;Kabupaten Malang;2G9C+5F3, Jalan Raya Coban Glothak, Area Hutan, Dalisodo, Wagir, Kabupaten Malang, East Java 65158, Indonesia;65158;https://lh5.googleusercontent.com/p/AF1QipNi-J6vwHD4xUgjFu4Mdyy8Y-eLMhhbd_VXV2-j=w408-h272-k-no;https://www.google.com/maps/search/?api=1&query=Coban%20Glotak&query_place_id=ChIJX_K6ANKCeC4RwEbLmJX4NeY;-7,9821112;112,5211667;;Monday;7 AM to 5 PM;Tuesday;7 AM to 5 PM;Wednesday;7 AM to 5 PM;Thursday;7 AM to 5 PM;Friday;7 AM to 5 PM;Saturday;7 AM to 5 PM;Sunday;7 AM to 5 PM
49;Taman Wisata Edukasi Buring Kedungkandang;4,3;257;Wisata Edukasi;Taman ini memiliki konsep unik yang menyatukan keindahan alam dengan nilai-nilai edukasi, menjadikannya destinasi favorit bagi keluarga dan pecinta alam;Kota Malang;2M63+4HG, Jl. Kedung Kandang Gg. VII, Kedungkandang, Kec. Kedungkandang, Kota Malang, Jawa Timur 65137, Indonesia;65137;https://lh5.googleusercontent.com/p/AF1QipNFSjleMa25u2OdoLYGSf5YClr_LN7sInYXJFiv=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Wisata%20Edukasi%20Buring%20Kedungkandang&query_place_id=ChIJJ299v28o1i0RMUFUd7mWvSk;-7,9896814;112,6539451;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
50;Idjen Boulevard;4,8;4894;Wisata Alam;Dikenal juga sebagai Jalan Ijen, adalah sebuah jalan ikonik dan bersejarah di Kota Malang, Jawa Timur. Jalan ini terkenal dengan pesona kolonialnya dan pemandangan hijau yang rimbun, menjadikannya tujuan populer bagi warga lokal maupun wisatawan;Kota Malang;2JHC+3P4, Ijen St, Oro-oro Dowo, Klojen, Kota Malang, East Java 65115, Indonesia;65115;https://lh5.googleusercontent.com/p/AF1QipMGBaTwvgDVygkJ4IvN14slAllSJX2E7nc-VymC=w408-h408-k-no;https://www.google.com/maps/search/?api=1&query=Idjen%20Boulevard&query_place_id=ChIJdQCp2Sco1i0RZcIIQN5ZjZE;-7,9723621;112,6218397;;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
51;Coban Rais;4,1;5272;Wisata Alam;Air terjun yang terletak di Desa Oro-Oro Ombo, Kecamatan Batu, Kota Batu, Jawa Timur. Coban Rais dikenal dengan pemandangan alamnya yang menakjubkan dan suasana yang masih alami;Kota Batu;Jalur Lkr. Bar. No.8, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316, Indonesia;65316;https://lh5.googleusercontent.com/p/AF1QipMJNW9xK1LzJvGT8eyayVsgg0pivekFA0Zm3jU=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Coban%20Rais&query_place_id=ChIJE8ekJbWGeC4ROWkY3kFPctM;-7,9116767;112,5184342;;Monday;7 AM to 3 PM;Tuesday;7 AM to 3 PM;Wednesday;7 AM to 3 PM;Thursday;7 AM to 3 PM;Friday;7 AM to 3 PM;Saturday;7 AM to 3 PM;Sunday;7 AM to 3 PM
52;Sweetmemoriesselfie;4,7;71;Wisata Rekreasi;Destinasi wisata yang unik dan modern di Jalan Trunojoyo No. 23, Malang. Tempat ini menawarkan berbagai spot foto menarik dan kreatif, menjadikannya tempat yang sempurna bagi para pencinta selfie dan fotografi.;Kota Malang;Gajah Mada Plaza, Jl. Agus Salim No.18 Lantai 3, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipNNje6_E3Rww4WFHRgt3sqO6xYuLVYB0RkCKg9y=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Sweetmemoriesselfie&query_place_id=ChIJOaNhE9SBeC4RcmVmwxXBpjQ;-7,983933;112,6321102;+62 822-2803-6100;Monday;11 AM to 8 PM;Tuesday;11 AM to 8 PM;Wednesday;11 AM to 8 PM;Thursday;11 AM to 8 PM;Friday;11 AM to 8 PM;Saturday;11 AM to 8 PM;Sunday;11 AM to 8 PM
53;Kampung Sekabrom;5,0;2;Wisata Rekreasi;Kampung ini dikenal dengan singkatan dari Semeru, Kayutangan, dan Bromo, yang merupakan nama-nama jalan yang menjadi akses menuju kampung tersebut;Kota Malang;2JFH+F8V, Oro-oro Dowo, Klojen, Kota Malang, East Java 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipMe3QY7oa3d6AU7yHA79qp0QsGGvzigWrF1UgM=w408-h544-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Sekabrom&query_place_id=ChIJUXg4uxcp1i0RMS-xd8uYOpc;-7,9762559;112,6283112;;;;;;;;;;;;;;;
54;Brawijaya Museum;4,5;6923;Museum;Sebuah museum militer yang didirikan pada tahun 1968 atas prakarsa Brigjen TNI (Purn) Soerachman dan didukung oleh Pemerintah Kota Malang;Kota Malang;Ijen St No.25A, Gading Kasri, Klojen, Kota Malang, East Java 65115, Indonesia;65115;https://lh5.googleusercontent.com/p/AF1QipPd1tlHaTX_5w4F0T88xGfkKHMZ_rTDo6_Gm05Q=w408-h270-k-no;https://www.google.com/maps/search/?api=1&query=Brawijaya%20Museum&query_place_id=ChIJ1YTFHCko1i0RAity7NV-lEQ;-7,9721325;112,621209;;Monday;8 AM to 3 PM;Tuesday;8 AM to 3 PM;Wednesday;8 AM to 3 PM;Thursday;8 AM to 3 PM;Friday;8 AM to 3 PM;Saturday;8 AM to 3 PM;Sunday;8 AM to 3 PM
55;Badut Temple;4,5;1619;Wisata Sejarah;Candi Hindu yang berada di Kawasan Tidar, sekitar 5 kilometer barat dari pusat Kota Malang, Jawa Timur. Candi ini dibangun pada abad ke-8, sekitar tahun 760 Masehi, oleh Raja Gajayana dari Kerajaan Kanjuruhan;Kabupaten Malang;Jl. Raya Candi V No.5D, Doro, Karangwidoro, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia;65151;http://t2.gstatic.com/images?q=tbn:ANd9GcRWZlZCYW0ZjQgv2pdHk_YkFNpK5V3tF7hA72mEf_xIVTbdDqy1;https://www.google.com/maps/search/?api=1&query=Badut%20Temple&query_place_id=ChIJXanRI2eCeC4RUU37IEzz_ZU;-7,9577761;112,5986081;;;;;;;;;;;;;;;
56;Taman Edukasi Rolak Kedungkandang;4,5;217;Wisata Edukasi;Taman ini berada di sepanjang Sungai Amprong, yang juga dikenal dengan nama Sungai Rolak. Taman ini dibangun dengan bantuan swadaya masyarakat dan memiliki berbagai fasilitas yang menarik untuk pengunjung;Kota Malang;Kedungkandang, Kota Malang, East Java 65137, Indonesia;65137;https://lh5.googleusercontent.com/p/AF1QipNmJ9p9gOeDNXcAi70G2UvhAQJ3B0Voo7nPVUHs=w408-h305-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20Edukasi%20Rolak%20Kedungkandang&query_place_id=ChIJqbCOwW8o1i0RIsC1iiCjETE;-7,9897566;112,6540108;+62 813-3323-2456;Monday;Open 24 hours;Tuesday;Open 24 hours;Wednesday;Open 24 hours;Thursday;Open 24 hours;Friday;Open 24 hours;Saturday;Open 24 hours;Sunday;Open 24 hours
57;Kampung Semar Malang;4,6;8;Wisata Rekreasi;Dikenal sebagai Kampung Go Green dan telah diresmikan sebagai kampung tematik internasional.Sebuah contoh nyata dari bagaimana komunitas lokal dapat berkontribusi pada keberlanjutan lingkungan dan meningkatkan kualitas hidup mereka;Kota Malang;3MC3+FW7, Jl. Tlk. Pelabuhan Ratu, Arjosari, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia;65126;https://lh5.googleusercontent.com/p/AF1QipP42qj6vsj67hf0-eJ7_nx0AzrdBSmRhktokd5A=w544-h240-k-no;https://www.google.com/maps/search/?api=1&query=Kampung%20Semar%20Malang&query_place_id=ChIJn3sYu-sp1i0R3qkOE1GHE7o;-7,928837;112,6547881;+62 813-3479-9920;;;;;;;;;;;;;;
58;Taman wisata rakyat;5,0;2;Wisata Rekreasi;Sebuah taman yang terletak di Kecamatan Kedungkandang, Kota Malang, Jawa Timur. Taman ini dikenal sebagai tempat yang ideal untuk berbagai kegiatan wisata dan rekreasi bagi masyarakat lokal dan wisatawan;Kota Malang;Jl. Gajahmada No.2A, RW.3, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;65119;https://lh5.googleusercontent.com/p/AF1QipMGywQDRBtspzdHLk65CoV9Bba4s0ioY-erKbfG=w408-h725-k-no;https://www.google.com/maps/search/?api=1&query=Taman%20wisata%20rakyat&query_place_id=ChIJUfq7Pv4p1i0R6EN0-tkifSY;-7,9788515;112,6342684;;;;;;;;;;;;;;;
59;Pantai Balekambang Malang;4,4;12239;Wisata Alam;Pantai ini dikenal dengan keindahan alamnya yang mirip dengan Tanah Lot di Bali, dengan pura yang berdiri di atas batu karang;Kabupaten Malang;Jl. Bale Kambang, Surigondo, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179;65179;https://lh5.googleusercontent.com/p/AF1QipPKNq0imddVfAPcGdSdhuYYjX5hVRTB5_583xlR=w810-h468-n-k-no;https://www.google.com/maps/place/Balekambang+Beach/@-8.4035496,112.5290714,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78a9458651084f:0x6b8da077d5b83e2f!8m2!3d-8.4034458!4d112.5391259!16s%2Fg%2F122kcmqv?entry=ttu&g_ep=EgoyMDI0MTIwMy4wIKXMDSoASAFQAw%3D%3D;-8,40310475;112,5358967;;;;;;;;;;;;;;;
60;Kawasan Wisata Peduli Perubahan Iklim Tirta Rona;5,0;2;Wisata Edukasi;Kawasan ini didirikan sebagai upaya untuk meningkatkan kesadaran masyarakat terhadap perubahan iklim dan pentingnya pelestarian lingkungan;Kota Malang;Jl. Raya Tlogomas Gg. 15c No.7E, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia;65144;https://lh5.googleusercontent.com/p/AF1QipPC4wSxh8NOAIyWEICEyGlP97mHkMvc-_eS9IVF=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Kawasan%20Wisata%20Peduli%20Perubahan%20Iklim%20Tirta%20Rona&query_place_id=ChIJncmAjqODeC4ROMDphxqZJMk;-7,9251522;112,600476;;;;;;;;;;;;;;;
61;Candi Sewu Lembah Tumpang;4,8;92;Wisata Sejarah;Candi ini merupakan replika dari candi asli di Indonesia dan dirancang untuk memberikan pengalaman wisatawan seperti berada di zaman kerajaan Majapahit;Kabupaten Malang;2P4Q+2JH, Jl. Desa Glanggang, Sumberringin, Wringinsongo, Kec. Tumpang, Kabupaten Malang, Jawa Timur 65156, Indonesia;65156;https://lh5.googleusercontent.com/p/AF1QipMdBeIXvdQVIr_Gd0uWcHQc0zFufVSOm6oqnM0I=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Candi%20Sewu%20Lembah%20Tumpang&query_place_id=ChIJnT-uUXov1i0RxxGlnZX05h8;-7,9949319;112,7391018;;Monday;7:30 AM to 5 PM;Tuesday;7:30 AM to 5 PM;Wednesday;7:30 AM to 5 PM;Thursday;7:30 AM to 5 PM;Friday;7:30 AM to 5 PM;Saturday;7:30 AM to 5 PM;Sunday;7:30 AM to 5 PM
62;Dam Kadalpang;4,1;93;Wisata Alam;Bendungan ini dibangun pada masa kolonial Belanda dan masih berfungsi hingga hari ini. Dam Kadalpang dikenal karena arsitektur dan keindahannya, serta perannya dalam mengalirkan air untuk irigasi di sekitar kawasan tersebut;Kota Malang;2JRF+VPP, Jl. Mayjen Panjaitan Dalam, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia;65113;https://lh5.googleusercontent.com/p/AF1QipNhBKDbk0HOC7lSM8lP6W0TD8o_nFSHYwtOY3Gm=w408-h305-k-no;https://www.google.com/maps/search/?api=1&query=Dam%20Kadalpang&query_place_id=ChIJORV0cHiCeC4RtZzDipce170;-7,9577925;112,6243295;;;;;;;;;;;;;;;
63;Batu Night Spectacular (BNS);4,5;36845;Wisata Rekreasi;Taman wisata malam yang dibuka pada malam hari dan menawarkan berbagai atraksi menarik, termasuk lampion, taman bermain, dan area hiburan;Kota Batu;Jl. Hayam Wuruk No.1, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316, Indonesia;65316;https://lh5.googleusercontent.com/p/AF1QipM_BFXZzRfRRhD643Y7n_58z_S_ue1V12vtUiBf=w426-h240-k-no;https://www.google.com/maps/search/?api=1&query=Batu%20Night%20Spectacular%20(BNS)&query_place_id=ChIJ23IsPzCBeC4RIex3GhfXPpU;-7,8965273;112,5345306;+62 341 5025111;Monday;3 to 11 PM;Tuesday;3 to 11 PM;Wednesday;3 to 11 PM;Thursday;3 to 11 PM;Friday;3 to 11 PM;Saturday;3 to 11 PM;Sunday;3 to 11 PM
